Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
City of Champaign 27,Davis,35.47%,155,Dirksen-Londrigan,64.53%,282,437,73.75%
City of Champaign 28,Davis,30.12%,97,Dirksen-Londrigan,69.88%,225,322,70.72%
City of Champaign 29,Davis,39.81%,172,Dirksen-Londrigan,60.19%,260,432,62.68%
City of Champaign 30,Davis,20.62%,107,Dirksen-Londrigan,79.38%,412,519,45.42%
City of Champaign 31,Davis,29.31%,148,Dirksen-Londrigan,70.69%,357,505,57.03%
City of Champaign 32,Davis,38.69%,320,Dirksen-Londrigan,61.31%,507,827,75.59%
City of Champaign 33,Davis,39.25%,396,Dirksen-Londrigan,60.75%,613,1009,72.55%
City of Champaign 34,Davis,36.91%,640,Dirksen-Londrigan,63.09%,1094,1734,62.25%
City of Champaign 35,Davis,30.78%,265,Dirksen-Londrigan,69.22%,596,861,59.69%
City of Champaign 36,Davis,38.66%,276,Dirksen-Londrigan,61.34%,438,714,66.82%
City of Champaign 37,Davis,35.68%,461,Dirksen-Londrigan,64.32%,831,1292,59.96%
City of Champaign 38,Davis,37.68%,454,Dirksen-Londrigan,62.32%,751,1205,75.12%
City of Champaign 39,Davis,34.17%,271,Dirksen-Londrigan,65.83%,522,793,61.04%
Colfax,Davis,66.67%,84,Dirksen-Londrigan,33.33%,42,126,73.41%
Cunningham 1,Davis,5.89%,36,Dirksen-Londrigan,94.11%,575,611,48.33%
Cunningham 2,Davis,11.76%,42,Dirksen-Londrigan,88.24%,315,357,67.45%
Cunningham 3,Davis,9.30%,37,Dirksen-Londrigan,90.70%,361,398,76.50%
Cunningham 4,Davis,7.41%,50,Dirksen-Londrigan,92.59%,625,675,84.84%
Cunningham 5,Davis,11.11%,88,Dirksen-Londrigan,88.89%,704,792,73.56%
Cunningham 6,Davis,11.88%,57,Dirksen-Londrigan,88.13%,423,480,52.13%
Cunningham 7,Davis,10.91%,53,Dirksen-Londrigan,89.09%,433,486,58.92%
Cunningham 8,Davis,6.62%,52,Dirksen-Londrigan,93.38%,733,785,67.17%
Cunningham 9,Davis,15.01%,130,Dirksen-Londrigan,84.99%,736,866,79.80%
Cunningham 10,Davis,7.31%,38,Dirksen-Londrigan,92.69%,482,520,82.20%
Cunningham 11,Davis,12.50%,45,Dirksen-Londrigan,87.50%,315,360,75.51%
Cunningham 12,Davis,11.47%,100,Dirksen-Londrigan,88.53%,772,872,65.21%
Cunningham 13,Davis,19.02%,101,Dirksen-Londrigan,80.98%,430,531,66.13%
Cunningham 14,Davis,22.41%,158,Dirksen-Londrigan,77.59%,547,705,81.69%
Cunningham 15,Davis,24.80%,124,Dirksen-Londrigan,75.20%,376,500,78.26%
Cunningham 16,Davis,21.80%,114,Dirksen-Londrigan,78.20%,409,523,66.75%
Cunningham 17,Davis,37.67%,255,Dirksen-Londrigan,62.33%,422,677,52.45%
Cunningham 18,Davis,33.95%,219,Dirksen-Londrigan,66.05%,426,645,65.69%
Cunningham 19,Davis,24.07%,245,Dirksen-Londrigan,75.93%,773,1018,52.58%
Cunningham 20,Davis,34.32%,163,Dirksen-Londrigan,65.68%,312,475,60.76%
Cunningham 21,Davis,20.70%,107,Dirksen-Londrigan,79.30%,410,517,54.43%
Cunningham 22,Davis,22.90%,155,Dirksen-Londrigan,77.10%,522,677,62.04%
Cunningham 23,Davis,34.46%,408,Dirksen-Londrigan,65.54%,776,1184,72.23%
Hensley,Davis,25.00%,27,Dirksen-Londrigan,75.00%,81,108,63.80%
Philo,Davis,66.18%,632,Dirksen-Londrigan,33.82%,323,955,72.38%
Sadorus Sadorus,Davis,63.33%,152,Dirksen-Londrigan,36.67%,88,240,65.33%
Sadorus Ivesdale,Davis,56.67%,85,Dirksen-Londrigan,43.33%,65,150,64.02%
Scott Bondville,Davis,60.94%,156,Dirksen-Londrigan,39.06%,100,256,67.36%
Scott Seymour,Davis,76.11%,137,Dirksen-Londrigan,23.89%,43,180,61.74%
Somer,Davis,66.67%,56,Dirksen-Londrigan,33.33%,28,84,63.61%
Tolono 1,Davis,62.24%,506,Dirksen-Londrigan,37.76%,307,813,66.30%
Tolono 2,Davis,44.60%,413,Dirksen-Londrigan,55.40%,513,926,67.07%
Tolono 3,Davis,67.43%,472,Dirksen-Londrigan,32.57%,228,700,67.24%
Urbana 1,Davis,39.13%,117,Dirksen-Londrigan,60.87%,182,299,80.05%
Urbana 2,Davis,51.46%,404,Dirksen-Londrigan,48.54%,381,785,64.32%
Urbana 3,Davis,45.43%,288,Dirksen-Londrigan,54.57%,346,634,59.29%
Urbana 4,Davis,41.79%,313,Dirksen-Londrigan,58.21%,436,749,54.03%
BARNETT,Davis,75.69%,137,Dirksen Londrigan,24.31%,44,181,60.46%
CLINTONIA 1,Davis,65.36%,117,Dirksen Londrigan,34.64%,62,179,40.54%
CLINTONIA 2,Davis,58.65%,78,Dirksen Londrigan,41.35%,55,133,46.44%
CLINTONIA 3,Davis,62.72%,175,Dirksen Londrigan,37.28%,104,279,59.09%
CLINTONIA 4,Davis,72.99%,273,Dirksen Londrigan,27.01%,101,374,57.08%
CLINTONIA 5,Davis,68.93%,417,Dirksen Londrigan,31.07%,188,605,60.50%
CLINTONIA 6,Davis,61.62%,183,Dirksen Londrigan,38.38%,114,297,59.41%
CLINTONIA 7,Davis,68.98%,189,Dirksen Londrigan,31.02%,85,274,49.28%
CLINTONIA 8,Davis,67.20%,125,Dirksen Londrigan,32.80%,61,186,46.59%
CLINTONIA 9,Davis,59.09%,104,Dirksen Londrigan,40.91%,72,176,38.19%
CREEK,Davis,81.97%,191,Dirksen Londrigan,18.03%,42,233,63.59%
DEWITT,Davis,72.36%,144,Dirksen Londrigan,27.64%,55,199,61.59%
HARP,Davis,71.52%,118,Dirksen Londrigan,28.48%,47,165,63.53%
NIXON,Davis,71.29%,149,Dirksen Londrigan,28.71%,60,209,61.81%
RUTLEDGE,Davis,70.13%,54,Dirksen Londrigan,29.87%,23,77,63.93%
SANTA ANNA 1,Davis,73.28%,266,Dirksen Londrigan,26.72%,97,363,54.65%
SANTA ANNA 2,Davis,70.60%,305,Dirksen Londrigan,29.40%,127,432,55.73%
SANTA ANNA 3,Davis,65.69%,90,Dirksen Londrigan,34.31%,47,137,59.23%
TEXAS,Davis,70.46%,427,Dirksen Londrigan,29.54%,179,606,63.50%
TUNBRIDGE,Davis,82.99%,283,Dirksen Londrigan,17.01%,58,341,60.64%
WAPELLA,Davis,72.22%,286,Dirksen Londrigan,27.78%,110,396,57.22%
WAYNESVILLE,Davis,77.94%,212,Dirksen Londrigan,22.06%,60,272,63.07%
WILSON,Davis,68.35%,54,Dirksen Londrigan,31.65%,25,79,69.91%
Elsah 1,Davis,53.22%,215,Dirksen-Londrigan,46.78%,189,404,53.63%
Elsah 2,Davis,64.40%,293,Dirksen-Londrigan,35.60%,162,455,58.61%
English,Davis,66.11%,158,Dirksen-Londrigan,33.89%,81,239,64.66%
Fidelity,Davis,72.73%,184,Dirksen-Londrigan,27.27%,69,253,53.72%
Jersey 1,Davis,66.75%,263,Dirksen-Londrigan,33.25%,131,394,57.16%
Jersey 2,Davis,68.98%,298,Dirksen-Londrigan,31.02%,134,432,56.53%
Jersey 3,Davis,70.98%,318,Dirksen-Londrigan,29.02%,130,448,60.42%
Jersey 4,Davis,66.10%,232,Dirksen-Londrigan,33.90%,119,351,60.92%
Jersey 5,Davis,70.13%,371,Dirksen-Londrigan,29.87%,158,529,51.03%
Jersey 6,Davis,61.68%,132,Dirksen-Londrigan,38.32%,82,214,43.76%
Jersey 7,Davis,75.34%,223,Dirksen-Londrigan,24.66%,73,296,54.23%
Jersey 8,Davis,57.65%,98,Dirksen-Londrigan,42.35%,72,170,61.84%
Jersey 9,Davis,63.13%,101,Dirksen-Londrigan,36.88%,59,160,45.15%
Jersey 10,Davis,69.25%,473,Dirksen-Londrigan,30.75%,210,683,59.64%
Mississippi 1,Davis,72.14%,347,Dirksen-Londrigan,27.86%,134,481,53.33%
Mississippi 2,Davis,63.31%,195,Dirksen-Londrigan,36.69%,113,308,59.02%
Otter Creek,Davis,73.66%,302,Dirksen-Londrigan,26.34%,108,410,60.26%
Piasa 1,Davis,71.92%,479,Dirksen-Londrigan,28.08%,187,666,57.29%
Piasa 2,Davis,65.85%,268,Dirksen-Londrigan,34.15%,139,407,56.29%
Piasa 3,Davis,64.04%,146,Dirksen-Londrigan,35.96%,82,228,61.54%
Quarry 1,Davis,67.22%,281,Dirksen-Londrigan,32.78%,137,418,66.00%
Quarry 2,Davis,65.08%,82,Dirksen-Londrigan,34.92%,44,126,66.84%
Richwood,Davis,73.68%,182,Dirksen-Londrigan,26.32%,65,247,58.61%
Rosedale,Davis,66.84%,129,Dirksen-Londrigan,33.16%,64,193,58.70%
Ruyle,Davis,76.96%,147,Dirksen-Londrigan,23.04%,44,191,69.75%
DECATUR 1,Davis,22.34%,88,Dirksen Londrigan,77.66%,306,394,36.75%
DECATUR 2,Davis,26.45%,91,Dirksen Londrigan,73.55%,253,344,36.17%
DECATUR 3,Davis,19.77%,137,Dirksen Londrigan,80.23%,556,693,39.06%
DECATUR 4,Davis,37.74%,100,Dirksen Londrigan,62.26%,165,265,30.22%
DECATUR 5,Davis,47.13%,255,Dirksen Londrigan,52.87%,286,541,55.66%
DECATUR 6,Davis,39.86%,110,Dirksen Londrigan,60.14%,166,276,39.20%
DECATUR 7,Davis,37.55%,92,Dirksen Londrigan,62.45%,153,245,32.28%
DECATUR 8,Davis,37.99%,310,Dirksen Londrigan,62.01%,506,816,55.21%
DECATUR 9,Davis,28.75%,113,Dirksen Londrigan,71.25%,280,393,49.25%
DECATUR 10,Davis,35.96%,196,Dirksen Londrigan,64.04%,349,545,41.32%
DECATUR 11,Davis,48.11%,242,Dirksen Londrigan,51.89%,261,503,66.01%
DECATUR 12,Davis,63.80%,379,Dirksen Londrigan,36.20%,215,594,55.26%
DECATUR 13,Davis,60.60%,263,Dirksen Londrigan,39.40%,171,434,55.43%
DECATUR 14,Davis,46.98%,132,Dirksen Londrigan,53.02%,149,281,41.82%
DECATUR 15,Davis,13.38%,42,Dirksen Londrigan,86.62%,272,314,28.99%
DECATUR 16,Davis,54.76%,213,Dirksen Londrigan,45.24%,176,389,53.51%
DECATUR 17,Davis,10.06%,47,Dirksen Londrigan,89.94%,420,467,30.36%
DECATUR 18,Davis,26.64%,69,Dirksen Londrigan,73.36%,190,259,33.72%
DECATUR 19,Davis,50.00%,204,Dirksen Londrigan,50.00%,204,408,55.36%
DECATUR 20,Davis,26.79%,157,Dirksen Londrigan,73.21%,429,586,35.93%
DECATUR 21,Davis,64.12%,554,Dirksen Londrigan,35.88%,310,864,58.03%
DECATUR 22,Davis,28.66%,90,Dirksen Londrigan,71.34%,224,314,32.47%
DECATUR 23,Davis,39.39%,182,Dirksen Londrigan,60.61%,280,462,41.43%
DECATUR 24,Davis,39.45%,86,Dirksen Londrigan,60.55%,132,218,34.28%
DECATUR 25,Davis,44.95%,98,Dirksen Londrigan,55.05%,120,218,37.85%
DECATUR 26,Davis,54.63%,112,Dirksen Londrigan,45.37%,93,205,34.51%
DECATUR 27,Davis,50.92%,139,Dirksen Londrigan,49.08%,134,273,36.89%
DECATUR 28,Davis,58.84%,346,Dirksen Londrigan,41.16%,242,588,44.75%
DECATUR 29,Davis,47.61%,239,Dirksen Londrigan,52.39%,263,502,54.09%
DECATUR 30,Davis,49.41%,211,Dirksen Londrigan,50.59%,216,427,53.78%
DECATUR 31,Davis,52.94%,225,Dirksen Londrigan,47.06%,200,425,53.53%
DECATUR 32,Davis,63.88%,389,Dirksen Londrigan,36.12%,220,609,53.51%
DECATUR 33,Davis,55.18%,229,Dirksen Londrigan,44.82%,186,415,54.53%
DECATUR 34,Davis,64.51%,289,Dirksen Londrigan,35.49%,159,448,62.75%
AUSTIN,Davis,83.19%,99,Dirksen Londrigan,16.81%,20,119,62.30%
BLUE MOUND,Davis,76.20%,317,Dirksen Londrigan,23.80%,99,416,65.51%
FRIENDS CREEK,Davis,68.51%,409,Dirksen Londrigan,31.49%,188,597,58.24%
HARRISTOWN 1,Davis,67.50%,540,Dirksen Londrigan,32.50%,260,800,58.39%
HICKORY PT. 1,Davis,71.75%,1016,Dirksen Londrigan,28.25%,400,1416,63.07%
HICKORY PT. 2,Davis,68.14%,571,Dirksen Londrigan,31.86%,267,838,64.21%
HICKORY PT. 3,Davis,60.94%,337,Dirksen Londrigan,39.06%,216,553,62.84%
HICKORY PT. 4,Davis,54.62%,355,Dirksen Londrigan,45.38%,295,650,55.99%
HICKORY PT. 5,Davis,50.60%,251,Dirksen Londrigan,49.40%,245,496,40.29%
HICKORY PT. 6,Davis,34.08%,91,Dirksen Londrigan,65.92%,176,267,30.34%
HICKORY PT. 7,Davis,62.75%,406,Dirksen Londrigan,37.25%,241,647,64.57%
HICKORY PT. 8,Davis,68.35%,473,Dirksen Londrigan,31.65%,219,692,60.49%
HICKORY PT. 9,Davis,52.95%,251,Dirksen Londrigan,47.05%,223,474,57.88%
HICKORY PT. 10,Davis,38.10%,128,Dirksen Londrigan,61.90%,208,336,49.56%
HICKORY PT. 11,Davis,63.37%,256,Dirksen Londrigan,36.63%,148,404,55.19%
HICKORY PT. 12,Davis,68.45%,371,Dirksen Londrigan,31.55%,171,542,61.04%
ILLINI,Davis,75.36%,419,Dirksen Londrigan,24.64%,137,556,57.74%
LONG CREEK 1,Davis,66.84%,379,Dirksen Londrigan,33.16%,188,567,61.50%
LONG CREEK 2,Davis,73.98%,836,Dirksen Londrigan,26.02%,294,1130,62.43%
LONG CREEK 3,Davis,68.97%,429,Dirksen Londrigan,31.03%,193,622,62.76%
LONG CREEK 4,Davis,52.94%,225,Dirksen Londrigan,47.06%,200,425,54.07%
LONG CREEK 5,Davis,65.70%,249,Dirksen Londrigan,34.30%,130,379,61.13%
LONG CREEK 6,Davis,73.11%,658,Dirksen Londrigan,26.89%,242,900,59.09%
LONG CREEK 7,Davis,62.90%,373,Dirksen Londrigan,37.10%,220,593,59.36%
LONG CREEK 8,Davis,64.52%,320,Dirksen Londrigan,35.48%,176,496,55.67%
MAROA,Davis,68.80%,516,Dirksen Londrigan,31.20%,234,750,54.62%
MT. ZION 1,Davis,70.51%,911,Dirksen Londrigan,29.49%,381,1292,59.95%
MT. ZION 2,Davis,71.33%,1010,Dirksen Londrigan,28.67%,406,1416,55.40%
MT. ZION 3,Davis,79.68%,345,Dirksen Londrigan,20.32%,88,433,65.11%
NIANTIC,Davis,67.47%,195,Dirksen Londrigan,32.53%,94,289,55.79%
OAKLEY,Davis,75.83%,389,Dirksen Londrigan,24.17%,124,513,58.90%
PLEASANT VIEW,Davis,76.43%,373,Dirksen Londrigan,23.57%,115,488,53.69%
SOUTH MACON,Davis,78.59%,492,Dirksen Londrigan,21.41%,134,626,58.56%
SOUTH WHEATLAND 1,Davis,74.97%,551,Dirksen Londrigan,25.03%,184,735,65.68%
SOUTH WHEATLAND 2,Davis,70.22%,554,Dirksen Londrigan,29.78%,235,789,46.88%
SOUTH WHEATLAND 3,Davis,71.83%,362,Dirksen Londrigan,28.17%,142,504,66.40%
WHITMORE 1,Davis,72.47%,674,Dirksen Londrigan,27.53%,256,930,63.70%
WHITMORE 2,Davis,48.61%,385,Dirksen Londrigan,51.39%,407,792,47.28%
Barr,Davis,84.93%,124,Dirksen-Londrigan,15.07%,22,146,66.08%
Bird,Davis,72.56%,119,Dirksen-Londrigan,27.44%,45,164,73.04%
Brighton 1,Davis,64.30%,272,Dirksen-Londrigan,35.70%,151,423,57.70%
Brighton 2,Davis,73.11%,242,Dirksen-Londrigan,26.89%,89,331,55.56%
Brighton 3,Davis,68.28%,551,Dirksen-Londrigan,31.72%,256,807,54.27%
Brushy Mound,Davis,68.63%,245,Dirksen-Londrigan,31.37%,112,357,64.77%
Bunker Hill 1,Davis,64.59%,270,Dirksen-Londrigan,35.41%,148,418,56.41%
Bunker Hill 2,Davis,63.32%,183,Dirksen-Londrigan,36.68%,106,289,56.70%
Bunker Hill 3,Davis,61.00%,355,Dirksen-Londrigan,39.00%,227,582,57.21%
Cahokia 1,Davis,68.42%,78,Dirksen-Londrigan,31.58%,36,114,59.79%
Cahokia 2,Davis,46.76%,159,Dirksen-Londrigan,53.24%,181,340,51.77%
Cahokia 3,Davis,55.03%,164,Dirksen-Londrigan,44.97%,134,298,47.66%
Cahokia 4,Davis,57.97%,80,Dirksen-Londrigan,42.03%,58,138,55.56%
Cahokia 5,Davis,47.79%,108,Dirksen-Londrigan,52.21%,118,226,50.54%
Carlinville 1,Davis,55.84%,344,Dirksen-Londrigan,44.16%,272,616,61.37%
Carlinville 2,Davis,60.00%,264,Dirksen-Londrigan,40.00%,176,440,61.49%
Carlinville 3,Davis,61.51%,350,Dirksen-Londrigan,38.49%,219,569,58.83%
Carlinville 4,Davis,48.57%,34,Dirksen-Londrigan,51.43%,36,70,42.39%
Carlinville 5,Davis,59.29%,201,Dirksen-Londrigan,40.71%,138,339,53.81%
Carlinville 6,Davis,60.86%,213,Dirksen-Londrigan,39.14%,137,350,51.33%
Chesterfield,Davis,68.47%,202,Dirksen-Londrigan,31.53%,93,295,58.96%
Dorchester 1,Davis,63.75%,204,Dirksen-Londrigan,36.25%,116,320,64.69%
Dorchester 2,Davis,54.09%,172,Dirksen-Londrigan,45.91%,146,318,58.16%
Gillespie 1,Davis,48.04%,135,Dirksen-Londrigan,51.96%,146,281,55.45%
Gillespie 2,Davis,48.45%,94,Dirksen-Londrigan,51.55%,100,194,55.40%
Gillespie 3,Davis,42.98%,52,Dirksen-Londrigan,57.02%,69,121,56.05%
Gillespie 4,Davis,61.70%,87,Dirksen-Londrigan,38.30%,54,141,58.80%
Gillespie 5,Davis,49.48%,237,Dirksen-Londrigan,50.52%,242,479,62.34%
Gillespie 6,Davis,45.64%,110,Dirksen-Londrigan,54.36%,131,241,49.22%
Girard 1,Davis,65.99%,163,Dirksen-Londrigan,34.01%,84,247,51.32%
Girard 2,Davis,57.76%,309,Dirksen-Londrigan,42.24%,226,535,56.24%
Hillyard,Davis,56.18%,141,Dirksen-Londrigan,43.82%,110,251,53.59%
Honey Point,Davis,67.47%,56,Dirksen-Londrigan,32.53%,27,83,65.63%
Mt. Olive 1,Davis,50.50%,102,Dirksen-Londrigan,49.50%,100,202,60.06%
Mt. Olive 2,Davis,42.79%,92,Dirksen-Londrigan,57.21%,123,215,57.70%
Mt. Olive 3,Davis,62.61%,144,Dirksen-Londrigan,37.39%,86,230,62.01%
Mt. Olive 4,Davis,50.68%,112,Dirksen-Londrigan,49.32%,109,221,60.80%
Mt. Olive 5,Davis,50.66%,116,Dirksen-Londrigan,49.34%,113,229,49.79%
Mt. Olive 6,Davis,57.02%,134,Dirksen-Londrigan,42.98%,101,235,60.10%
Nilwood 1,Davis,67.63%,94,Dirksen-Londrigan,32.37%,45,139,60.43%
Nilwood 2,Davis,78.57%,88,Dirksen-Londrigan,21.43%,24,112,62.37%
North Otter,Davis,68.88%,290,Dirksen-Londrigan,31.12%,131,421,69.08%
North Palmyra,Davis,70.14%,242,Dirksen-Londrigan,29.86%,103,345,61.18%
Polk,Davis,70.55%,206,Dirksen-Londrigan,29.45%,86,292,62.05%
Scottville,Davis,81.12%,116,Dirksen-Londrigan,18.88%,27,143,65.33%
Shaws Point,Davis,67.05%,175,Dirksen-Londrigan,32.95%,86,261,67.34%
Shipman 1,Davis,62.39%,204,Dirksen-Londrigan,37.61%,123,327,59.58%
Shipman 2,Davis,76.23%,93,Dirksen-Londrigan,23.77%,29,122,68.13%
Shipman 3,Davis,75.21%,88,Dirksen-Londrigan,24.79%,29,117,62.50%
South Otter,Davis,76.89%,163,Dirksen-Londrigan,23.11%,49,212,62.50%
South Palmyra,Davis,75.45%,209,Dirksen-Londrigan,24.55%,68,277,56.08%
Staunton 1,Davis,57.69%,165,Dirksen-Londrigan,42.31%,121,286,55.92%
Staunton 2,Davis,56.97%,229,Dirksen-Londrigan,43.03%,173,402,50.49%
Staunton 3,Davis,50.89%,286,Dirksen-Londrigan,49.11%,276,562,58.63%
Staunton 4,Davis,54.41%,259,Dirksen-Londrigan,45.59%,217,476,58.23%
Staunton 5,Davis,58.11%,215,Dirksen-Londrigan,41.89%,155,370,55.83%
Virden 1,Davis,68.07%,194,Dirksen-Londrigan,31.93%,91,285,55.35%
Virden 2,Davis,61.69%,182,Dirksen-Londrigan,38.31%,113,295,47.02%
Virden 3,Davis,63.64%,231,Dirksen-Londrigan,36.36%,132,363,57.87%
Virden 4,Davis,61.09%,135,Dirksen-Londrigan,38.91%,86,221,55.37%
Western Mound,Davis,74.36%,87,Dirksen-Londrigan,25.64%,30,117,65.76%
New Douglas 01,Davis,66.67%,146,Dirksen-Londrigan,33.33%,73,219,63.40%
Olive 01,Davis,56.78%,293,Dirksen-Londrigan,43.22%,223,516,60.09%
Olive 02,Davis,60.99%,111,Dirksen-Londrigan,39.01%,71,182,57.86%
Omphghent 01,Davis,64.61%,451,Dirksen-Londrigan,35.39%,247,698,61.46%
Omphghent 02,Davis,65.63%,254,Dirksen-Londrigan,34.37%,133,387,69.56%
Collinsville 01,Davis,43.12%,166,Dirksen-Londrigan,56.88%,219,385,50.83%
Collinsville 02,Davis,45.32%,218,Dirksen-Londrigan,54.68%,263,481,51.69%
Collinsville 03,Davis,40.59%,289,Dirksen-Londrigan,59.41%,423,712,60.85%
